seqnames	start	end	width	CpG	X15w_UVB.mu	X15w_UA.mu	X15w_UVB..15w_UA.diff	X15w_UVB..15w_UA.pval	annotation	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
chr1	4590956	4590955	0	1	0.6929833	0.9308051	0.2378217	0.0497967	Distal Intergenic	4490928	4497354	6427	2	Sox17	-93602
chr1	4819766	4819765	0	1	0.1937933	0.4394863	0.2456931	0.0493612	Intron (NM_008866/Lypla1, intron 2 of 8)	4807893	4846735	38843	1	Lypla1	11873
chr1	5017814	5017813	0	1	0.4896428	0.8761131	0.3864702	0.0186922	Intron (NM_001290372/Rgs20, intron 1 of 4)	4909576	5070285	160710	2	Rgs20	52472
chr1	5916022	5916021	0	1	0.3412134	0.0881224	-0.253091	0.0231691	Promoter (1-2kb)	5913707	5917398	3692	2	Npbwr1	1377
chr1	6483656	6483655	0	1	0.8784691	0.5324933	-0.3459758	0.0118578	Distal Intergenic	6487231	6860940	373710	1	St18	-3576
chr1	7664243	7664242	0	1	0.2571317	0.0381309	-0.2190008	0.0277262	Distal Intergenic	7088920	7173628	84709	1	Pcmtd1	575323
chr1	8072959	8072958	0	1	0.5248813	0.8894467	0.3645654	0.0310002	Distal Intergenic	7088920	7173628	84709	1	Pcmtd1	984039
chr1	9299713	9299712	0	1	0.0177148	0.2215941	0.2038793	0.0477096	Promoter (<=1kb)	8359739	9299877	940139	2	Sntg1	165
chr1	9782313	9782312	0	1	0.5772849	0.229066	-0.3482189	0.0430579	Distal Intergenic	9798130	9902568	104439	1	Sgk3	-15818
chr1	10326292	10326291	0	1	0.9313964	0.7093676	-0.2220289	0.0401605	Intron (NM_001289497/Cpa6, intron 9 of 9)	10137507	10232670	95164	2	Arfgef1	-93622
chr1	10398362	10398361	0	1	0.1049865	0.4646298	0.3596433	0.0494506	Intron (NM_001289497/Cpa6, intron 7 of 9)	10137507	10232670	95164	2	Arfgef1	-165692
chr1	10993975	10993974	0	1	0.0259383	0.5883497	0.5624114	0.0002547	Promoter (<=1kb)	10993465	11303682	310218	1	Prex2	510
chr1	11277869	11277868	0	1	0.3291615	0.0213733	-0.3077882	0.0352426	Intron (NM_029525/Prex2, intron 37 of 39)	11414105	11975902	561798	1	A830018L16Rik	-136237
chr1	11501965	11501964	0	1	0.2680727	0.0279032	-0.2401695	0.0261245	Intron (NM_001160370/A830018L16Rik, intron 1 of 6)	11414105	11975902	561798	1	A830018L16Rik	87860
chr1	12233282	12233281	0	1	0.564696	0.9437834	0.3790874	0.0209687	Distal Intergenic	12425986	12426106	121	1	Mir6341	-192705
chr1	12701707	12701706	0	1	0.2027509	0.538979	0.3362281	0.0310176	Intron (NM_001198565/Sulf1, intron 1 of 21)	12692430	12860372	167943	1	Sulf1	9277
chr1	12797162	12797161	0	1	0.8930537	0.3252402	-0.5678136	0.0094054	Intron (NM_001198565/Sulf1, intron 5 of 21)	12692430	12860372	167943	1	Sulf1	104732
chr1	12814319	12814318	0	1	0.1831158	0.611043	0.4279272	0.013933	Intron (NM_001198565/Sulf1, intron 7 of 21)	12692430	12860372	167943	1	Sulf1	121889
chr1	12864563	12864562	0	1	0.0947766	0.2774506	0.182674	0.0369608	Downstream (1-2kb)	12866550	12991135	124586	2	Slco5a1	126573
chr1	12990790	12990789	0	1	0.0279875	0.4748298	0.4468423	0.0400114	Promoter (<=1kb)	12866550	12991135	124586	2	Slco5a1	346
chr1	12996582	12996581	0	1	0.0177148	0.5250048	0.50729	0.0005769	Distal Intergenic	12866550	12991135	124586	2	Slco5a1	-5447
chr1	13101274	13101273	0	1	0.8236737	0.4641646	-0.3595091	0.0272097	Distal Intergenic	13113428	13127163	13736	2	Prdm14	25890
chr1	13128143	13128142	0	1	0.0295526	0.2064191	0.1768665	0.0246961	Promoter (<=1kb)	13113428	13127163	13736	2	Prdm14	-980
chr1	13132502	13132501	0	1	0.6965786	0.2540791	-0.4424996	0.020254	Distal Intergenic	13113428	13127163	13736	2	Prdm14	-5339
