seqnames	start	end	width	CpG	X2w_UVB.mu	X2w_UA.mu	X2w_UVB..2w_UA.diff	X2w_UVB..2w_UA.pval	annotation	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
chr1	3508805	3508804	0	1	0.8643891	0.4895892	-0.3747998	0.0280792	Intron (NM_001011874/Xkr4, intron 1 of 2)	3214482	3671498	457017	2	Xkr4	162694
chr1	3611437	3611436	0	1	0.4968222	0.206892	-0.2899302	0.0141794	Intron (NM_001011874/Xkr4, intron 1 of 2)	3214482	3671498	457017	2	Xkr4	60062
chr1	3654256	3654255	0	1	0.4528014	0.1049909	-0.3478105	0.0430694	Intron (NM_001011874/Xkr4, intron 1 of 2)	3214482	3671498	457017	2	Xkr4	17243
chr1	3987692	3987691	0	1	0.5116562	0.8161866	0.3045305	0.0387359	Distal Intergenic	3214482	3671498	457017	2	Xkr4	-316194
chr1	4769046	4769045	0	1	0.2762455	0.0142632	-0.2619823	0.0312214	Distal Intergenic	4773200	4785726	12527	2	Mrpl15	16681
chr1	5110719	5110718	0	1	0.7920469	0.288578	-0.5034689	0.0379035	Intron (NM_133826/Atp6v1h, intron 7 of 13)	5083173	5162549	79377	1	Atp6v1h	27546
chr1	5916245	5916244	0	1	0.3686996	0.0161417	-0.3525579	0.0386975	Promoter (1-2kb)	5913707	5917398	3692	2	Npbwr1	1154
chr1	7298329	7298328	0	1	0.0973443	0.3766776	0.2793333	0.0356286	Distal Intergenic	7088920	7173628	84709	1	Pcmtd1	209409
chr1	8341803	8341802	0	1	0.2743658	0.6444633	0.3700975	0.0116292	Distal Intergenic	8359739	9299877	940139	2	Sntg1	958075
chr1	9909045	9909044	0	1	0.7089186	0.9343946	0.2254759	0.0499222	Promoter (<=1kb)	9908638	9940954	32317	1	Mcmdc2	407
chr1	10348859	10348858	0	1	0.4147097	0.0176852	-0.3970246	0.0307701	Intron (NM_001289497/Cpa6, intron 7 of 9)	10137507	10232670	95164	2	Arfgef1	-116189
chr1	11278413	11278412	0	1	0.4082059	0.1410157	-0.2671902	0.0282089	Intron (NM_029525/Prex2, intron 37 of 39)	11414105	11975902	561798	1	A830018L16Rik	-135693
chr1	11326446	11326445	0	1	0.2705067	0.8900785	0.6195719	0.0010487	Distal Intergenic	11414105	11975902	561798	1	A830018L16Rik	-87660
